ID;Name;Latitude;Longitude;Straße;PLZ;Ort;Öffnungszeiten;Homepage;Beschreibung;Erstellungsdatum;Lizenz
1bb2e38457d4454fa7c7e7cceae065ad;gruene wiese;51.964331004752;7.624177368182772;Spiekerhof 29;48143;Münster;;https://www.gruenewiese-shop.de/;"Öffnungszeiten:
Montags bis Freitag 11-19 Uhr
Samstag 10:30-18:00 Uhr
";2019-08-04;CC0-1.0
ba29501e17234c2daf5313176f75bfd5;fairTEILBAR Münster;51.950306320539816;7.624563438643032;Hammer Straße 60;48153;Münster;;https://www.fairteilbar-muenster.de/;"Öffnungszeiten
Dienstag - Samstag 10:00 - 18:00 Uhr";2023-01-31;CC0-1.0
6045a5d219d44aabafa1117521044c86;forum natura;51.94631368478123;7.630307724527227;Friedrich-Ebert-Str., 114;48153;Münster;;https://www.forumnatura/;"ökologische Baustoffe und Einrichtungen
von Dienstag bis Freitag in der Regel von 9.00 Uhr - 18.00 Uhr";2020-10-24;CC0-1.0
f212c76a1d6a43b89b5babf6e56c4f74;Frau Többen green.fair.fashion;51.9509674850623;7.625218987290384;Hammer Straße 55;48153;Münster;;https://www.frautoebben.de/;"Öffnungszeiten
Di-Fr 10.00h - 13.00h & 14.00h - 18.00h
Sa 10.00h - 16.00h";2020-10-25;CC0-1.0
27157ef2708242c9a0c1fb3300ce52cf;Löwen Tankstelle (Esso);51.92539999816818;7.525599984231219;Dülmener Straße 16;48163;Münster;09:00-20:00;https://www.esso.naserie.com/;Es ist die Esso Tankstelle direkt in die Waschanlage rechts gibt es Leitungswasser (Trinkwasser) dort kann man Flasche auffüllen.;2023-02-14;CC0-1.0
e32dcd4efdbf45bab5db1afcc409431c;The Body Shop;51.960324999857846;7.624085167247841;Aegidiistr. 3;48143;Münster;;;"Öffnungszeiten
Mo - Fr  9.30 - 19.00 Uhr
Sa         9.30 - 18.00 Uhr";2019-08-06;CC0-1.0
0bbb6f89ca014522abbe7f6a801ab96e;Schründer Schlafräume;51.95120527965538;7.618460658760025;Weselerstraße 77;48151;Münster;;https://www.schruender.de/;Refill Station;2019-11-25;CC0-1.0
52c37e7fc3284ffb8a2ebf5acb60a91f;Bahnhofsmission Münster;51.95577878130403;7.635626796463331;Berliner Platz 8-10;48143;Münster;;;Die BM - Münster ist Refill-Station, dort kann man kostenlos seine Wasserflasche auffüllen lassen. auf Gleis 12;2021-06-30;CC0-1.0
ee62ea35a910446e81de5ce9b127cc65;Zweigbibliothek Medizin;51.960899998415684;7.599199967272207;Albert-Schweitzer-Campus 1, Gebäude A11;48149;Münster;Mo-Fr: 08-24 Uhr, Sa-So: 10-24 Uhr, Feiertage geschlossen.;https://www.uni-muenster.de/ZBMed/;Gebäude A11 auf dem Klinikgelände, Hahn befindet sich im Bistro im Erdgeschoss bei den Automaten, Trinkwasser im Erdgeschoss auch via Aufzug erreichbar, ;2023-05-11;CC0-1.0
bfad1249a7b34c4bad13907cf7753652;Autohaus Fischer GmbH | Service;51.93969118499183;7.629951912737429;Dahlweg 121;48153;Münster;Mo-Fr 07:00-18:00;;Wasserflasche leer? Kein Problem! Sagen Sie einfach kurz an der Information Bescheid und füllen Sie Ihre Flasche kostenfrei mit Leitungswasser auf.;2021-08-06;CC0-1.0
ed0e8e8c23744f48bbd92cb633a49c2e;Blumenhaus Harbaum;51.95960000714268;7.611899975506542;Himmelreichallee 45;48149;Münster;Mo-Fr 9-18Uhr Sa 9-13Uhr So 10-12Uhr;;Sowohl im Geschäft als auch im Außenverkauf ist das auffüllen deiner Trinkflasche mit Leitungswasser möglich !;2022-08-04;CC0-1.0
90d8f93cc77f485fba519264810acff4;Gesundheitsamt der Stadt Münster;51.96969999092151;7.635499978268286;Stühmerweg 8;48147;Münster;montags - donnerstags 8 - 16 Uhr, freitags 8 - 13 Uhr;https://www.stadt-muenster.de/gesundheit/hygiene-und-umweltmedizin/hitze-und-uv-schutz;Das Gesundheitsamt in Münster bietet im Erdgeschoss  Zugang zu Trinkwasser während der Öffnungszeiten (montags - donnerstags 8 - 16 Uhr, freitags 8 - 13 Uhr).;2024-04-08;CC0-1.0
610346b4f71c40fdab3f819e31f9518e;Autohaus Fischer GmbH;51.94891064984208;7.6318663394227;48153 ;71-91;Friedrich-Ebert-Str;"Mo-Fr 09:00-18:30; Sa 09:00-13:00";;Wasserflasche leer? Kein Problem! Sagen Sie einfach kurz an der Information Bescheid und füllen Sie Ihre Flasche kostenfrei mit Leitungswasser auf.;2021-08-06;CC0-1.0
3e94137a69724e84be651bc184cd6733;Bahnhofsmission Münster;51.95013168358716;7.613301681174572;Hauptbahnhof Münster Gleis 9/12;48143;Münster;Mo-Fr 8:00-20:00;http://www.bahnhofsmission.de/;"Öffnungszeiten
Mo-Fr 8:00-20:00";2023-07-11;CC0-1.0
e180ab75389a405a92f2be0abeb267ba;TravelWorks (Travelplus Group GmbH);51.929948018831176;7.7194350155626585;Münsterstr. 111;48155;Münster;;https://www.travelworks.de/;"Öffnungszeiten:
Mo - Fr 09:00h-18:00h";2019-08-03;CC0-1.0
6862046c308b4cefa9179366521730fb;Overschmidt Yachtschule;51.95763709114755;7.6147157082402686;Annette-Allee 1;48149;Münster;;https://www.overschmidt.de/;"Öffnungszeiten
Mo - Do 09:00 - 16:00
Fr 09 - 14:00";2019-08-07;CC0-1.0
162f3845d27d464f88b183819a64ef54;EINZELHANDEL - ZUM WOHLFÜLLEN;51.972928700024696;7.629403736269755;Langemarckstraße 10;48147;Münster;;https://www.einzelhandel.ms/;"Öffnungszeiten:
Mo - Fr: 09:30h- 19:00h
Sa: 10:00h-17:00h

";2019-08-12;CC0-1.0
3e2a44a4d19340ed89d79bffbce9f895;Umwelthaus Münster;51.960444190521;7.641455571931533;Zumsandestraße 15;48145;Münster;;https://www.umweltforum-muenster.de/;"Öffnungszeiten
Mo-Do 09h-12h
Mi 13-15h
Do 14-17h
(oder einfach klingeln, vielleicht ist gerade jemand vor Ort)";2019-08-15;CC0-1.0
e265bcca7bcb4284bc1a468a45ced24c;Kundenservicecenter Stadtwerke Münster;51.95041335744337;7.638621399010821;Hafenplatz 1;48155;Münster;;https://www.stadtwerke-muenster.de/;"Öffnungszeiten:
Mo-Fr: 09:00 - 18:00 Uhr";2019-08-15;CC0-1.0
e1a164dd17ac447c965714304dac444d;Andreas Döpker Friseure;51.955842693315745;7.625340776343523;Ludgeriplatz 11-13;48151;Münster;;https://www.doepker-friseure.de/;"Öffnungszeiten
Di,Mi, Fr 10.00h - 19.00h
Do 10.00h - 20.00h
Sa 09.00h - 16.00h";2019-08-26;CC0-1.0
5faf2cd8b7464e8db3d31ee2dd555bd5;Doro Dot Design Kleidung & Accessoires;51.903061346105794;7.640185294505295;Marktallee 18;48165;Münster;;https://www.dorodotdesign.de/;"Öffnungszeiten
Mo-Fr 10h-13h & 14h-18h
Mi nachmittag geschlossen
Sa 10h-14h";2019-08-26;CC0-1.0
c49b8b24ff8b4dbca24a0dd74ef47901;Adenauer & Co Strandhaus Münster;51.960438909922;7.625146232370821;Rothenburg 14-16;48143;Münster;;https://www.adenauer.com/;"Öffnungszeiten
Mo-Sa 10h-19h";2019-08-26;CC0-1.0
80a603c4d9b94d6784c9da343ca4187d;Trekking König Münster;51.95827889347369;7.62962133047619;Windthorststraße 35;48143;Münster;;https://www.trekking-koenig.de/filialen/muenster/;"Öffnungszeiten:
Montag bis Freitag: 10:00 bis 19:00 Uhr 
Samstag: 09:30 bis 18:00 Uhr";2019-08-26;CC0-1.0
e12ac7f554e843f08d6a1c571eed9df8;Unterwegs Outdoor GmbH;51.96459440605929;7.623465074050922;Rosenstraße 10-11;48143;Münster;;https://www.unterwegs-muenster.de/;"Öffnungszeiten:
Mo - Fr: 09:30 - 19:00
Sa: 09:30 - 18:00";2019-08-27;CC0-1.0
787678f720f04f718b33b71a560306af;New Optics by Martin Newels;51.96417111994893;7.630868976763854;Bült 7;48134;Münster;;https://www.new-optics.de/;"Öffnungszeiten
Mo - Fr  9.30 - 18.30 Uhr
Sa       10.00 - 16.00 Uhr";2019-08-06;CC0-1.0
7d7b98a548114cc6a0f6ce050b7ec6ed;Johanniter-Unfall-Hilfe e.V. Pflegestation Nord;51.996284705585005;7.665622694262128;An der alten Ziegelei 20;48157;Münster;;https://www.johanniter.de/dienstleistungen/pflege-und-beratung/pflegedienste/ambulante-pflegedienste/;"Öffnungszeiten
Mo-Fr 08:00-16:00 Uhr";2019-08-06;CC0-1.0
9926dec688054cd09ae37ae652ba4079;ZAQUENSIS Service-Center Münster;51.96088650355157;7.6349495386867545;Eisenbahnstraße 11;48143;Münster;;https://www.zaquensis.de/;"Öffnungszeiten:
Mo. - Fr. 8-17 Uhr";2019-08-21;CC0-1.0
9076483061f24582a7aa8150a36a051e;Auszeit - Mein Tag am Meer;51.95802571808827;7.628006892105567;Beelertstiege 5-6;48143;Münster;;https://www.auszeit.ms/;"Öffnungszeiten
Mo-Fr 10:30h-19h
Sa 10h-16h";2019-08-26;CC0-1.0
02593b062b2a40f59d56f6ade5ab4143;Südviertelbüro Münster;51.9492243006589;7.624693022866125;Hammer Straße 69;;Münster;;https://www.suedviertelbuero.de/;"Öffnungszeiten
Mo-Fr vormittags von 10-12 Uhr
Mo -Do nachmittags von 16-18 Uhr";2019-08-26;CC0-1.0
b05256e81c6a48b0a7d04d824c0dabd3;handwerkstatt münster;51.959481906126946;7.6410280948695855;Zumsandestr. 32;48145;Münster;;https://www.handwerkstatt-muenster.de/;"Öffnungszeiten
Mo - Fr 10.00 - 12.30 Uhr
Di & Mi 15:00 - 18:00 Uhr";2019-08-06;CC0-1.0
0cace99c9a0b4fa8a5b7c56f9ae9927c;Johanniter-Unfall-Hilfe e.V. Regionalgeschäftsst.;51.93101411309606;7.601632311754689;Geringhoffstraße 45/47;48163;Münster;;https://www.johanniter.de/muenster;"Öffnungszeiten
mo-fr 07:00-19:00 Uhr";2019-08-06;CC0-1.0
25a221d7a62a4485abf229a017044076;Ska Treff;51.96690030953237;7.658828826462305;Skagerrakstrasse 2;48145;Münster;;;"Öffnungszeiten
Mo - Do 9:00 - 18:00 Uhr
Fr 9:00 - 17:00 Uhr";2019-08-12;CC0-1.0
37f092e693ab408fab78d91803abc7d8;la tienda e.V.;51.9636257095093;7.6210814284258905;Frauenstraße 7;48143;Münster;;https://www.latienda-weltladen.de/;"Öffnungszeiten
Montag - Freitag 10 - 18 Uhr 
Samstag 11 - 14:30 Uhr";2019-08-26;CC0-1.0
e973a5656c3d4f0985317de457c631d2;interface medien GmbH;51.93838976879529;7.628409977829275;Scheibenstraße, 119;48153;Münster;Mo-Fr 09:00-16:00;https://www.interface-medien.de/;interface medien ist ein in der Digitalmetropole Münster hervorragend vernetztes IT-, Beratungs- und Marketingunternehmen mit über 20-jähriger Erfahrung. Unser Sitz ist das Kreativzentrum „Skaters Palace“. ;2022-03-29;CC0-1.0
