ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,UIDENTSTLAE
05,5,15,000,2019,01,21,3,3,5,2,2,0,1,0,1,0,0,403046.026129555890000,5755125.999404810400000,7.589618466000047,51.938395069000080,1,
05,5,66,076,2019,01,02,3,3,0,1,2,1,0,0,0,0,0,395678.170000000860000,5794846.574000001000000,7.470304749000036,52.294055178000065,1,
05,5,54,064,2019,01,04,3,3,6,6,2,1,0,1,0,0,0,362229.494662968440000,5751989.329834088700000,6.997452695000050,51.901603029000057,1,
05,5,62,004,2019,01,09,3,3,8,1,0,0,1,0,0,0,0,383633.889554608610000,5718315.188059795600000,7.319686641000033,51.603840374000072,1,
05,5,66,056,2019,01,18,3,2,4,1,2,0,1,0,0,0,0,417500.782999999820000,5796537.206000004000000,7.789792884000065,52.312961985000072,1,
05,5,66,032,2019,01,21,4,3,9,7,2,0,1,0,0,0,0,412398.167558399030000,5776502.578916966900000,7.720149049000042,52.132093019000081,0,
05,5,54,052,2019,01,14,3,3,8,1,0,0,1,0,0,0,0,377842.992208058950000,5770579.952832313300000,7.217653481000070,52.072312186000033,0,
05,5,62,004,2019,01,04,4,3,8,1,2,0,0,0,1,0,0,386938.010868863200000,5716451.139515865600000,7.367977347000021,51.587759515000073,1,
05,5,66,056,2019,01,12,7,3,5,3,0,0,1,0,0,0,0,416923.942000001670000,5797044.454000001800000,7.781207838000057,52.317434370000058,1,
05,5,66,024,2019,01,11,7,3,9,1,0,0,1,0,0,0,0,381505.352851903070000,5775839.464894058200000,7.269234074000053,52.120373626000060,1,
05,5,66,012,2019,01,09,7,2,5,3,0,1,1,0,0,0,0,405390.070272861050000,5773105.037411592900000,7.618737075000070,52.100399960000061,1,
05,5,58,008,2019,01,15,7,3,8,1,0,0,1,0,0,0,0,385074.460176954050000,5765605.662828020800000,7.324787764000064,52.029156032000060,1,
05,5,12,000,2019,01,18,7,3,2,6,2,0,1,0,0,0,0,355580.540420237930000,5712428.459888605400000,6.917279888000053,51.544449505000046,1,
